name,address,link,phone,email
Wisdom English Academy,"Kathmandu,  Kathmandu,  Kalanki",https://nepalschoolmela.com/wisdom,Not found,info@wisdomacademy.edu.np
Valley English Secondary School,"Lalitpur,   Chapagaun",https://nepalschoolmela.com/valleyschool,Not found,valleyengschool@gmail.com
Sagarmatha Secondary Boarding School,"Udaypur,   Beltar Basaha",https://nepalschoolmela.com/sagarmathasecondary,Not found,contact@sagarmathass.edu.np
Saptakoshi English Boarding Secondary School,"Morang,  Urlabari,  Urlabari",https://nepalschoolmela.com/saptakoshienglish,Not found,bhattarailekhnath600@gmail.com
Sudesha High School,"Lalitpur,  Lalitpur,  Nakkhu",https://nepalschoolmela.com/sudesha,Not found,info@sudesha.edu.np
Sabhapokhari  English Boarding School,"Sankhuwasabha,",https://nepalschoolmela.com/sabhapokhari,Not found,info@sabhapokhari.edu.np
Sun Shine Secondary School,"Bhaktapur,  Madhyapur Thimi,  Naya Thimi - 4",https://nepalschoolmela.com/sunshineschool,Not found,info@sunshineschool.edu.com
Shree Nobel Academy,"Kanchanpur,   Nobel",https://nepalschoolmela.com/nobel,Not found,arjun2073kunwar@gmail.com
Babylon National School,"Kathmandu,  Kathmandu,  Shantinagar",https://nepalschoolmela.com/babylonnationalschool,Not found,info@babylonschool.edu.np
Bibhuti Vidya Mandir English Higher Secondary School,"Jhapa,   Bhadrapur",https://nepalschoolmela.com/bibhutividya,Not found,glamsal2@gmail.com
West Point English Boarding Secondary School,"Kanchanpur,   Jhalari",https://nepalschoolmela.com/westpoint,Not found,pndbasant@gmail.com
Western Crystal Academy,"Kailali,  Dhangadi,  National Marg",https://nepalschoolmela.com/westerncrystal,Not found,urmilakhadkakunwar@gmail.com
Arunodaya English Secondary School,"Kavrepalanchok,   panauti",https://nepalschoolmela.com/arunodaya,Not found,arunodayaschool_panauti@ymail.com
Bal Bagaicha Primary School,"Kathmandu,   balbagaicha",https://nepalschoolmela.com/balbagaicha,Not found,sanu_amatya@yahoo.com
Bal Jyoti English Boarding School,"Kapilvastu,",https://nepalschoolmela.com/baljyotienglish,Not found,sarbendra3@gmail.com
Bal Kiran Lower Secondary Boarding English School,"Panchthar,",https://nepalschoolmela.com/balkiranschool,Not found,dssubba8@gmail.com
Balkalyan Boarding Secondary School,"Jhapa,   Birtamod",https://nepalschoolmela.com/balkalyanboardingschool,Not found,navarajsitoula@gmail.com
Udayasi English Secondary School,"Udaypur,   Triyuga-6, Udayapur",https://nepalschoolmela.com/udayasischool,Not found,contact@udayasiss.edu.np
Balodaya Secondary School,"Kaski,  Pokhara,",https://nepalschoolmela.com/balodaya,Not found,amritaryal39@gmail.com
Bhanu Memorial English School,"Kailali,  Dhangadi,",https://nepalschoolmela.com/bhanumemorialschool,Not found,rpsharma@gmail.com
Araniko English Medium School,"Bardiya,   Sanoshree Taratal",https://nepalschoolmela.com/aranikoenglishmediumschool,Not found,shiva.duttalc@gmail.com
Radiant Montessori English(R.M.E) School,"Kailali,  Tikapur Municipality,  Tikapur, Kailali",https://nepalschoolmela.com/radiantschool,Not found,rmeschool2067@gmail.com
Amar Adarsha Higher Secondary Boarding School,"Baglung,",https://nepalschoolmela.com/amaradarsha,Not found,brspanta62@gmail.com
Albert English Secondary Boarding School,"Kathmandu,  Kathmandu,  Maitidevi",https://nepalschoolmela.com/albertenglish,Not found,albert_maitidevi@yahoo.com
Sweta Sadan English Boarding School,"Kathmandu,   Samakhusi",https://nepalschoolmela.com/swetasadanschool,Not found,info@swetasadanschool.edu.np
"Adarsha Secondary School, Morang","Morang,  Biratnagar,",https://nepalschoolmela.com/adarshasecondaryschool,Not found,info@adarshaschool.edu.np
Swarnim School,"Kathmandu,   Dallu Awas",https://nepalschoolmela.com/swarnimschool,Not found,swarnimschool1981@gmail.com
Einstein Academy Secondary School,"Lalitpur,  Lalitpur,  Mahalaxmi Chowk",https://nepalschoolmela.com/einsteinacademynepal,Not found,info@einsteinacademynepalgmail.com
Tamang Khark Secondary School,"Lalitpur,   Satdobato , Dhading",https://nepalschoolmela.com/tamangschool,Not found,info@tamangschool.edu.np
Bheri Technical School,"Banke,  Nepalgunj,",https://nepalschoolmela.com/bts,Not found,info@bts.edu.np
Swostishree Gurukul,"Kathmandu,   Sanobharyang",https://nepalschoolmela.com/swostishreeschool,Not found,info@swostishreegurukul.edu.np
College of Culinary and Hospitality Management,"Kathmandu,  Kathmandu,",https://nepalschoolmela.com/cchm,Not found,info@cchm.edu.np
Swati Sadan English Boarding Secondary School,"Kathmandu,   Balaju-16",https://nepalschoolmela.com/swatisadanschool,Not found,info@swatisadan.edu.np
Nightingale International Secondary School,"Lalitpur,   Kupondole",https://nepalschoolmela.com/nightingaleschool,Not found,school@nightingale.edu.np
Prime Global School,"Kathmandu,  Kathmandu,  Khusibun, Nayabazaar",https://nepalschoolmela.com/primeglobal,Not found,info@primeglobalschool.org.np
Balaju School of Engineering and Technology,"Kathmandu,",https://nepalschoolmela.com/bset,Not found,bset1962balaju@gmail.com
Suryodaya Sai Secondary School,"Lalitpur,   Imadol, Mahalaxmi",https://nepalschoolmela.com/suryodayaschool,Not found,info@suryodaya.edu.np
New Rising English Secondary school,"Kavrepalanchok,   Rayale",https://nepalschoolmela.com/nress,Not found,info@nress.edu.com
Sunrise Boarding School,"Kathmandu,   Chapali, Budhanilkantha",https://nepalschoolmela.com/sunriseschool,Not found,info@sunriseschool.edu.np
Supreme Academy Secondary School,"Bhaktapur,   Thimi",https://nepalschoolmela.com/supremeacademyschool,Not found,info@supremeschool.edu.np
Supervision English School,"Lalitpur,",https://nepalschoolmela.com/supervisionschool,Not found,info@supervisionschool.edu.np
VIDHYA VIKASH SECONDARY BOARDING SCHOOL,"Bhaktapur,   JAGATI 7",https://nepalschoolmela.com/vidyavikashschool,Not found,INFO.VIDHYAVIKASH@GMAIL.COM
Sweta Sadan English Boarding Secondary School,"Kathmandu,   Gongabu",https://nepalschoolmela.com/swetasadan,Not found,info@swetasadan.edu.np
Tarun Secondary School,"Kathmandu,  Kathmandu,  Balaju",https://nepalschoolmela.com/tarunschool,Not found,info@tarunschool.edu.np
Tarapunja Secondary School,"Kathmandu,",https://nepalschoolmela.com/tarapunjaschool,Not found,info@tarapunjaschool.edu.np
Tokha Valley English School,"Kathmandu,  Kathmandu,  Tokha",https://nepalschoolmela.com/tokhavalleyschool,Not found,info@tokhavalleyschool.edu.np
Vidhya Vikash English School,"Kathmandu,  Kathmandu,  Gothatar-2",https://nepalschoolmela.com/vidyabikash,Not found,infovidyavikash@gmail.com
Awareness International Academy,"Kathmandu,  Kathmandu,  Sankhamul",https://nepalschoolmela.com/awarenessacademy,Not found,info@awarenessacademy.edu.np
Ashirvad English Boarding School,"Kathmandu,  Kathmandu,  UpaharMarga",https://nepalschoolmela.com/ashirvadschool,Not found,ashirvadbs@gmail.com
Modern Indian School,"Kathmandu,   Chobhar",https://nepalschoolmela.com/modernindianschool,"""Admission open for classes UKG to Class IX. For further details,you are requested to contact school office from 8:00 am - 3:00 pm.""",info@misktm.edu.np
The Chandbagh School,"Kathmandu,   Bansbari",https://nepalschoolmela.com/thechandbaghschool,Not found,yogen.karki@chandbagh.edu.np
Arunodaya Academy,"Kathmandu,  Kathmandu,  Bijayaswari",https://nepalschoolmela.com/arunodayaacademy,Not found,info@arunodayaacademy.edu.np
Basu Higher Secondary School,"Bhaktapur,   Kalighat, Byasi",https://nepalschoolmela.com/basusecondaryschool,Not found,basuhschool@gmail.com
Arunima Secondary School,"Kathmandu,  Kathmandu,  Bauddha",https://nepalschoolmela.com/arunimaschool,Not found,info@arunimaschool.edu.np
Asian Public School,"Kathmandu,  Kathmandu,  Anamnagar",https://nepalschoolmela.com/asianpublicschool,Not found,info@asianpublic.edu.np
Ashish English Boarding School,"Lalitpur,  Lalitpur,  Jawalakhel",https://nepalschoolmela.com/ashishschool,Not found,info@ashishschool.edu.np
Mahendra Vidya Ashram,"Bhaktapur,   Barahi Pith",https://nepalschoolmela.com/mahendravidyaashram,Not found,info@mva.edu.np
Ashirwad Secondary School,"Kathmandu,  Kathmandu,  Samakhusi",https://nepalschoolmela.com/ashirwadschool,Not found,info@ashirwadschool.edu.np
SUNSHINE NATIONAL SCHOOL,"Bhaktapur,   Dudhpati",https://nepalschoolmela.com/sunshinenationalschool,Not found,sunshine.bkt17@gmail.com
Anmol Jyoti Secondary English Boarding School,"Kathmandu,  Kathmandu,  Maligaun-5",https://nepalschoolmela.com/anmoljyotischool,Not found,info@anmoljyotischool.edu.np
Anjuli Boarding School,"Kaski,  Pokhara,",https://nepalschoolmela.com/anjulischool,Not found,info@anjulischool.edu.np
Tribeni Sadan English Secondary School,"Kathmandu,  Kathmandu,  Tokha",https://nepalschoolmela.com/tribenisadan,Not found,info@tribenisadan.edu.np
Tej Binayak Secondary School,"Kathmandu,  Kathmandu,  Gothatar",https://nepalschoolmela.com/tejbinayakschool,Not found,info@tejbinayakschool.edu.np
Technical And Vocational School,"Kavrepalanchok,   Banepa",https://nepalschoolmela.com/technicalschool,Not found,info@technicalschool.edu.np
Baba School,"Kathmandu,   Moti Chowk, Chabahil",https://nepalschoolmela.com/babaschool,Not found,babab@mail.com.np
Third Eye Boarding School,"Kathmandu,  Kathmandu,  Gongabu",https://nepalschoolmela.com/thirdeyeschool,Not found,info@thirdeyeschool.edu.np
The Velocity School,"Kathmandu,  Kageshwari Manohara,  Mulpani",https://nepalschoolmela.com/thevelocityschool,Not found,info@thevelocityschool.edu.np
The Sunshine Secondary Boarding School,"Kathmandu,  Kathmandu,  Bijeshwori",https://nepalschoolmela.com/sunshine,Not found,info@sunshineschool.edu.np
The Spangle Boarding High School,"Kathmandu,  Kathmandu,  Kalikasthan",https://nepalschoolmela.com/spangleboardingschool,Not found,info@spangleboardingschool.edu.np
The Rising School,"Lalitpur,  Lalitpur,  Tikhedewal",https://nepalschoolmela.com/risingschool,Not found,info@risingschool.edu.np
Kathmandu Valley Higher Secondary School,"Kathmandu,   Maharajgunj, Chakrapath",https://nepalschoolmela.com/kathmanduvalleyschool,Not found,info@kvhss.edu.np
The Excelsior School,"Kathmandu,  Kathmandu,  Swoyambhu",https://nepalschoolmela.com/theexcelsiorschool,Not found,theexcelsiorschool@gmail.com
RUPY'S INTERNATIONAL SCHOOL,"Kathmandu,   Baphal",https://nepalschoolmela.com/rupysschool,Not found,info@rupys.edu.np
The Dream School,"Kaski,  Pokhara,  Nirmalpokhari-23",https://nepalschoolmela.com/thedreamschool,Not found,info@thedreamschool.edu.np
The Celebration Co-ed School,"Kathmandu,  Kageshwari Manohara,  Gothatar",https://nepalschoolmela.com/celebrationschool,Not found,celebrationjorpati@gmail.com
Tilingatar Secondary School,"Kathmandu,  Kathmandu,  Dhapasi",https://nepalschoolmela.com/thss,Not found,info@thss.edu.np
Laligurans Batika Secondary School,"Kathmandu,   Narephant, Koteshwor",https://nepalschoolmela.com/laliguransbatikaschool,Not found,laliguransbatika2072@gmail.com
Toddler`s International Pre School,"Kathmandu,  Kathmandu,  Boudha",https://nepalschoolmela.com/toddlerspreschool,Not found,info@toddlerinternationalschool.edu.np
Timeline School,"Kathmandu,  Kathmandu,  Gokarneshwar",https://nepalschoolmela.com/timelineschool,Not found,info@timelineschool.edu.np
Budhanilkantha School,"Kathmandu,   Budhanilkantha",https://nepalschoolmela.com/budhanilkantaschool,Not found,info@bnks.edu.np
Araniko Higher Secondary School,"Bhaktapur,  Bhaktapur,  Gamcha",https://nepalschoolmela.com/arnikoschool,Not found,info@arnikoschool.edu.np
Araniko International Academy,"Lalitpur,  Lalitpur,  Talchikhel",https://nepalschoolmela.com/aranikoacademy,Not found,Info@aranikointernationalacademy.edu.np
Apollo International Academy,"Kathmandu,  Kathmandu,  Subidhanagar",https://nepalschoolmela.com/apolloacademy,Not found,info@apolloacademy.edu.np
Alpine Academy,"Kathmandu,   Kageshwori-4, Kathmandu",https://nepalschoolmela.com/alpineacademy,Not found,alpineacademy@outlook.com
Annapurna English Secondary School,"Kathmandu,  Kathmandu,  Gairi Gaun",https://nepalschoolmela.com/annapurnaenglishschool,Not found,info@annapurnaenglishschool.edu.np
Annal Jyoti Boarding School,"Lalitpur,  Lalitpur,  Dholahiti-8",https://nepalschoolmela.com/annaljyotischool,"Annal Jyoti Boarding School Dholahiti, Sunakothi, Lalitpur Kathmandu, Nepal Phone:977-1-5230485 Email: annaljyoti16@gmail.com, info@ajschool.org",annaljyotia@mail.com
Angel Montessori And Pre School,"Kathmandu,  Kathmandu,  Dhapasi",https://nepalschoolmela.com/angelmontessorischool,Not found,info@angelmontessorischool.edu.np
Ajaya Shikshya Sadan,"Lalitpur,   Thasikhel",https://nepalschoolmela.com/ajayaschool,Not found,info@ajaya.edu.np
Angel Lord Academy High School,"Kathmandu,  Kathmandu,  Himali Marga",https://nepalschoolmela.com/angellolardacademy,Not found,info@angelloadacademy.edu.np
Akala Secondary School,"Gorkha,  Gorkha Municipality,  Ratmate",https://nepalschoolmela.com/akalaschool,Not found,info@akalaschool.edu.np
Adarsha Yogahari Secondary School,"Kathmandu,  Kathmandu,  Lainchour",https://nepalschoolmela.com/adarshayogaharischool,Not found,info@adarshayogahari.edu.np
Traibidya Shikchhya Sadan,"Kathmandu,  Kathmandu,  Shankhamul",https://nepalschoolmela.com/traibidya,Not found,traibidya@gmail.com
Adwitiya Boarding High School,"Kathmandu,   Balaju, Kharibot,",https://nepalschoolmela.com/adwitiyaschool,Not found,adwitiyaschool2041@gmail.com
Tri-Padma Vidyashram Higher Secondary School,"Lalitpur,  Lalitpur,  Pulchowk",https://nepalschoolmela.com/tripadmaschool,Not found,schooltripadma@gmail.com
Adarsha Saula Yubak Secondary School,"Lalitpur,  Lalitpur,  Metropolitan-City-25 Sainbu",https://nepalschoolmela.com/adarshasaulaschool,Not found,info@adarshacollege.edu.np
Trilok Children`s Academy School,"Kathmandu,  Kathmandu,  Balaju",https://nepalschoolmela.com/Trilokschool,Not found,info@trilokschool.edu.np
Adarsha Kanya Niketan Secondary School,"Lalitpur,   Mangal Bazar",https://nepalschoolmela.com/adarshakanyaschool,Not found,info@adarshakanyaschool.edu.np
Trilochan Academy,"Lalitpur,  Lalitpur,  Tikhedewal",https://nepalschoolmela.com/trilochanacademy,Not found,infoa@trilochanacademy.edu.np
Shree Tribhuvan Shanti High School,"Kaski,  Pokhara,  Lekhnath",https://nepalschoolmela.com/shreetribhuvanshantihighschool,Not found,info@shreetribhuvanschool.edu.np
Annapurna Secondary School,"Kathmandu,  Kathmandu,  Kamalachi",https://nepalschoolmela.com/annapurnaschool,Not found,info@annapurnaschool.edu.np
Children Garden Academy,"Lalitpur,  Lalitpur,  Imadol",https://nepalschoolmela.com/childrengardenschool,Not found,info@childrengarden.edu.np
Ideal Model Secondary School,"Lalitpur,   Jhamsikhel",https://nepalschoolmela.com/idealmodelschool,Not found,ims@idealmodel.edu.np
Akashganga International Academy,"Kathmandu,  Kathmandu,  kumarigal",https://nepalschoolmela.com/akashgangaacademy,Not found,info@akashgangaintl.edu.np
Toran English Secondary School,"Lalitpur,  Lalitpur,  Bagdol",https://nepalschoolmela.com/toranschool,Not found,info@toranschool.edu.npa
WITS ACADEMY,"Kathmandu,   Boudha-06",https://nepalschoolmela.com/witsacademy,Not found,info@wits.edu.np
Angle Academy School,"Kathmandu,  Kathmandu,  Dhapa-5",https://nepalschoolmela.com/angleacademy,Not found,info@angleacademy.edu.np
Amar Shishu School,"Lalitpur,  Lalitpur,  Kupondole",https://nepalschoolmela.com/amarshishuschool,Not found,info@amarshishuschool.edu.np
Ambrosia Ideal Secondary School,"Kathmandu,  Kathmandu,  Satungal",https://nepalschoolmela.com/aisschool,Not found,info@aischool.edu.np
Adhyayan School,"Kathmandu,  Kathmandu,  Samakhusi Chowk, Tokha – 10",https://nepalschoolmela.com/adhyayanschool,Not found,info@adhyayan.edu.np
Alpha Boarding School,"Kathmandu,  Kathmandu,  Lamachaur",https://nepalschoolmela.com/alphaschool,Not found,info@alphaschool.edu.np
Advanced Academy,"Lalitpur,  Lalitpur,  Kupandole",https://nepalschoolmela.com/advancedacademy,Not found,info@advancedacademy.edu.np
Active Academy Boarding High School,"Kathmandu,  Kathmandu,  Basundhara",https://nepalschoolmela.com/activeacademyschool,Not found,info@activeacademy.edu.np
Abhiyan Public School,"Kathmandu,  Kathmandu,  Balaju",https://nepalschoolmela.com/abhiyanschool,Not found,info@abhiyanschool.edu.np
Tri-Jyoti Secondary School,"Kathmandu,  Kathmandu,  Kapan",https://nepalschoolmela.com/trijyotischool,Not found,trijyotischool@gmail.com
THE WORLD YOUTH INTERNATIONAL SCHOOL,"Kathmandu,   Gokarneshwor-4",https://nepalschoolmela.com/worldyouthschool,Not found,wyischool@gmail.com
Trust N Care Montessori School,"Kathmandu,  Kathmandu,  Nagarjun",https://nepalschoolmela.com/trustncaremontessori,Not found,info@trustncareschool.edu.np
Trungram International Academy,"Kathmandu,  Kathmandu,  Hattigauda",https://nepalschoolmela.com/trungramacademy,Not found,trungramacademy@gmail.com
White Heaven Academy School,"Kathmandu,   Mitranagar",https://nepalschoolmela.com/whiteheavenacademy,Not found,whiteheaven@gmail.com
Vinayak College of Health Science,"Kathmandu,   Gaushala, Battisputali,",https://nepalschoolmela.com/vinayakcollegeofhealthscience,Not found,info@vnc.edu.np
Triyog High School,"Kathmandu,  Kathmandu,  Dhapasi",https://nepalschoolmela.com/triyogschool,Not found,info@triyog.edu.np
Triveni Public School,"Kathmandu,  Kathmandu,",https://nepalschoolmela.com/trivenischool,Not found,info@trivenischool.edu.np
Vajra Academy,"Lalitpur,  Lalitpur,  Godawari-13, Vajrabarahi",https://nepalschoolmela.com/vajraacademy,Not found,info@vajraacademy.org
Adarshraj Memorial English Secondary School,"Surkhet,   Latikoili",https://nepalschoolmela.com/adarshrajmemorialschool,Not found,surkhetadarshschool@yahoo.com
Unique Academy Secondary School,"Lalitpur,  Lalitpur,  Kumaripati",https://nepalschoolmela.com/uniqueschool,Not found,info@uniqueschool.edu.np
Delhi Public School,"Bara,   Lipnimal, Bara-44300",https://nepalschoolmela.com/delhipublicschool,Not found,dpsbirgunj@cgeducation.com.np
RAI School,"Kathmandu,   Naxal ( Near Balmandir Compound )",https://nepalschoolmela.com/raischool,"Due to COVID-19 situation, we are not having entrance exams for any of the classes. For admission in Class 1-9, simply fill and submit the admission form with copies of previous mark sheets and any other certificates of the student. This will be followed by an interview and an orientation session welcoming the child to the school. For admission in class XI, a student must have passed/appeared for CBSE/ SEE or equivalent from a recognized institution/ board. The student should have scored 60% and above to be eligible for admission. If the results have not been declared, we provide provisional admission. To book a visit for a school tour, contact 9801966967.",raischoolktm@gmail.com
Rato Bangala School,"Lalitpur,   PATANDHOKA",https://nepalschoolmela.com/ratobangalaschool,Not found,info@ratobangala.edu.np
United School Satdobato,"Lalitpur,  Lalitpur,  Satdobato",https://nepalschoolmela.com/unitedschool,Not found,info@unitedschool.edu.np
Shikshantar school,"Kathmandu,   Airport road Sinamgal",https://nepalschoolmela.com/shikshantarschool,Not found,school@shikshantarschool.edu.np
KENDRIYA VIDYALAYA,"Kathmandu,   Lazimpat",https://nepalschoolmela.com/kendriyavidyalaya,Not found,principalkvkathmandu@gmail.com
Valley View English School,"Kathmandu,  Kathmandu,  Mid-Baneshwor",https://nepalschoolmela.com/valleyview,Not found,info@valleyview.com.np
Valley Public Secondary School,"Kathmandu,  Kathmandu,  Golfutar",https://nepalschoolmela.com/valleypublicsecondaryschool,Not found,info@valleypublicsecschool.edu.np
KATHMANDU INTERNATIONAL STUDY CENTRE,"Kathmandu,   Jawalakhel, Patan",https://nepalschoolmela.com/kathmanduinternational,Not found,info@kisc.edu.np
Birat Boarding School,"Kathmandu,   Sankhamool, New Baneshwor",https://nepalschoolmela.com/bbs,Not found,biratboardingschool@gmail.com
Uttar Bahini Boarding School,"Kathmandu,  Kathmandu,",https://nepalschoolmela.com/uttarbahinischool,Not found,info@uttarbahinischool.edu.np
Amar Kanti Secondary School,"Lalitpur,  Lalitpur,",https://nepalschoolmela.com/amarkantischool,Not found,info@amarkantischool.edu.np
Universal Higher Secondary School,"Kathmandu,  Kathmandu,  Dhumbarahi",https://nepalschoolmela.com/universalsecondaryschool,Not found,info@uss.edu.np
The British School,"Lalitpur,   Jhamsikhel",https://nepalschoolmela.com/tbs,Not found,info@tbs.edu.np
